make,model,mileage,fuel-type,first-registration,price,price_label,position,seller_name,seller_location,listing_zip_code,listing_url,title,drive_type,extended_range,car_type
ford,mustang mach-e,15333,e,06-2024,56990,unknown,89,Ford Unicars Oostende & Diksmuide Sterrenbeoordeling 4 van 5 (15),Thomas Vermeersch • BE-8400 Oostende - Diksmuide,8400,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-99kwh-258kw-extended-range-awd-elektrisch-5488dffa-f5a2-4c7a-addb-f701f72d0745,Ford Mustang Mach-E premium 99kWh 258kW Extended Range AWD,AWD,yes,Premium
ford,mustang mach-e,26070,e,01-2023,45900,unknown,90,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-awd-99kwh-extended-range-351cv-258kw-a1-gar-0182-elektrisch-wit-dd61f743-6158-40ce-a231-6487a8bd499b,Ford Mustang Mach-E AWD 99kWh Extended Range 351cv/258kW - A1 GAR 0182,AWD,yes,Premium
ford,mustang mach-e,12199,e,06-2023,62490,expensive,91,Garage Steveny Sterrenbeoordeling 4.5 van 5 (12),BE-5004 Bouge,5004,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-99-kwh-awd-extended-range-487cv-led-camera-360-elektrisch-geel-21b14546-17c0-4311-ba73-08804afdc897,Ford Mustang Mach-E GT 99 kWh AWD Extended Range 487CV*LED*CAMERA 360*,AWD,yes,GT
ford,mustang mach-e,50000,e,09-2023,74451,unknown,92,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-elektrisch-wit-9bdd0d35-7fd5-4bec-9cb4-f83d131354ab,Ford Mustang Mach-E GT,unknown,unknown,GT
ford,mustang mach-e,9989,e,03-2024,53500,fair-price,93,Rousseau Sterrenbeoordeling 5 van 5 (25),Service Vente • BE-7520 Tournai et Mouscron,7520,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-rwd-99kwh-autonomie-600-km-new-elektrisch-blauw-9e624f00-60ac-4745-9b86-6e938aed22af,Ford Mustang Mach-E Premium RWD - 99kWh -autonomie 600 km - NEW,RWD,yes,Premium
ford,mustang mach-e,31095,e,08-2021,57500,unknown,94,Garage Vandeputte BV Sterrenbeoordeling 3 van 5 (1),Steven Vandeputte • BE-8552 Moen,8552,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99-kwh-awd-extended-range-elektrisch-grijs-91761e51-d5f5-4d07-84fa-688816807493,Ford Mustang Mach-E 99 kWh AWD Extended Range,AWD,yes,Premium
ford,mustang mach-e,55000,e,06-2021,43332,unknown,95,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-elektrisch-grijs-05dfe5d5-2ed2-4363-aad4-ea37076542ff,Ford Mustang Mach-E Premium,unknown,unknown,Premium
ford,mustang mach-e,46205,e,02-2023,50600,fair-price,96,Peerlings Automotive Sterrenbeoordeling 5 van 5 (32),Peerlings Automotive • BE-3900 Pelt,3900,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-91-kwh-awd-gt-elektrisch-wit-25f4e532-45e7-412a-a771-28b13bb44f98,Ford Mustang Mach-E 91 kWh AWD GT,AWD,unknown,GT
ford,mustang mach-e,28963,e,09-2022,49990,expensive,97,Ford Unicars Roeselare en Ieper Sterrenbeoordeling 5 van 5 (4),Robbe Depoorter • BE-8800 Roeselare,8800,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-rwd-er-99kw-294pk-600km-bereik-btw-wagen-elektrisch-zilver-27e0133a-7208-453d-a4c9-95c7f34b0f77,Ford Mustang Mach-E RWD ER - 99kW - 294pk - 600km bereik - BTW wagen,RWD,yes,unknown
ford,mustang mach-e,40,e,12-2023,56900,fair-price,98,Rousseau Sterrenbeoordeling 5 van 5 (25),Service Vente • BE-7520 Tournai et Mouscron,7520,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-rwd-99kwh-autonomie-600-km-new-elektrisch-oranje-2e22fe24-2746-45b9-89bf-c4d0e50ed030,Ford Mustang Mach-E Premium RWD - 99kWh -autonomie 600 km - NEW,RWD,yes,Premium
